0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
2,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1
4,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
5,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0
6,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0
7,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1
8,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0
9,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
10,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0
11,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
12,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1
13,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
14,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0
15,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1
16,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
17,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1
18,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0
19,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
20,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0
