0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
2,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0
3,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0
4,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0
5,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0
6,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
7,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0
8,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0
9,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1
10,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0
11,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
12,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0
13,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1
14,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
15,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0
16,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
17,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1
18,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
19,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
20,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
