0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1
2,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
3,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
4,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1
5,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0
6,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1
7,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
8,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
9,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0
10,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
12,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0
13,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
15,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1
16,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1
17,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1
18,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
19,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0
