0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0
2,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1
3,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1
4,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1
5,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1
6,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1
7,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
8,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0
9,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0
10,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1
11,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
12,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1
13,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
14,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1
15,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1
16,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
17,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
18,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
19,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0
20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
