0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1
2,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0
3,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
4,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1
5,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1
6,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
7,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1
8,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0
9,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1
10,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
11,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0
12,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1
13,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
14,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0
15,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0
16,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
18,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1
19,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
